3,0.25,1.0,2.0,12,4,0.5,1.0,3.0,12,4,0.25,1.0,4.0,12,5,1.0,1.0,1.0,13,6_minor,3_minor,4_major,1_major
4,0.5,1.0,3.0,12,4,0.25,1.0,4.0,12,5,1.0,1.0,1.0,13,4,0.25,1.0,2.0,13,3_minor,4_major,1_major,6_minor
7,0.25,3.0,4.0,5,3,0.5,1.0,3.0,6,3,0.25,3.0,4.0,6,1,0.5,1.0,3.0,7,1_minor,5_major,1_minor,5_major
3,0.5,1.0,3.0,6,3,0.25,3.0,4.0,6,1,0.5,1.0,3.0,7,3,0.25,3.0,4.0,7,5_major,1_minor,5_major,1_minor
1,0.25,2.0,2.0,4,7,0.25,1.0,4.0,4,6,1.0,3.0,1.0,5,1,0.25,1.0,4.0,5,4_minor,7_major,4_minor,7_major
7,0.25,1.0,4.0,4,6,1.0,3.0,1.0,5,1,0.25,1.0,4.0,5,1,1.0,4.5,1.0,6,7_major,4_minor,7_major,4_minor
2,1.0,1.0,1.0,3,2,0.25,1.0,2.0,3,6,0.5,1.0,3.0,3,7,0.25,1.0,4.0,3,1_major,6_minor,4_major,2_minor
2,0.25,1.0,2.0,3,6,0.5,1.0,3.0,3,7,0.25,1.0,4.0,3,1,1.0,1.0,1.0,4,6_minor,4_major,2_minor,1_major
3,1.0,1.0,1.0,9,3,0.25,1.0,2.0,9,7,0.5,0.5,3.0,9,1,0.125,0.5,3.5,9,1_minor,3_major,6_major,2_diminished
3,0.25,1.0,2.0,9,7,0.5,0.5,3.0,9,1,0.125,0.5,3.5,9,2,0.25,1.0,4.0,9,3_major,6_major,2_diminished,3_major
5,0.5,1.0,3.0,12,5,0.25,2.0,4.0,12,2,0.25,1.0,2.0,13,3,0.5,1.0,3.0,13,6_minor,1_major,5_major,6_minor
5,0.25,2.0,4.0,12,2,0.25,1.0,2.0,13,3,0.5,1.0,3.0,13,2,0.25,1.0,4.0,13,1_major,5_major,6_minor,5_major
6,0.25,1.0,4.0,7,5,1.0,1.0,1.0,8,5,0.25,1.0,2.0,8,1,0.5,1.0,3.0,8,4_major,1_major,6_minor,3_minor
5,1.0,1.0,1.0,8,5,0.25,1.0,2.0,8,1,0.5,1.0,3.0,8,1,0.25,1.0,4.0,8,1_major,6_minor,3_minor,4_major
3,0.25,3.0,4.0,15,,0.5,1.0,3.0,16,,0.5,3.0,3.0,16,1,0.5,0.5,3.0,17,1_minor,2_diminished,1_minor,2_diminished
,0.5,1.0,3.0,16,,0.5,3.0,3.0,16,1,0.5,0.5,3.0,17,2,0.125,0.5,3.5,17,2_diminished,1_minor,2_diminished,7_diminished
4,1.0,2.0,1.0,19,3,1.0,1.0,1.0,20,3,1.0,2.0,1.0,20,2,1.0,1.0,1.0,21,6_minor,1_major,6_minor,1_major
