song_id,length,raw_acc,vit_acc,raw_f1,vit_f1,raw_harm_loss,vit_harm_loss,raw_jaccard,vit_jaccard,raw_unlikely,vit_unlikely,acc_gain,f1_gain,harm_gain,jaccard_gain,smooth_gain
song_303.csv,20,0.3,0.3,0.18,0.2037037037037037,0.12749615194944278,0.12534883691370263,0.30000000000000004,0.2222222222222222,1,0,0.0,0.0237037037037037,0.002147315035740144,0.07777777777777783,1
song_296.csv,6,0.16666666666666666,0.5,0.16666666666666666,0.36666666666666664,0.07423442845512992,0.09634766103314228,0.6666666666666667,0.4,2,0,0.33333333333333337,0.19999999999999998,-0.022113232578012357,0.2666666666666667,2
song_174.csv,6,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.11308387261752416,0.09702906907864849,0.33333333333333337,0.5714285714285714,0,0,-0.16666666666666674,-0.23809523809523808,0.016054803538875673,-0.23809523809523803,0
song_120.csv,4,0.25,0.5,0.13333333333333333,0.25,0.05342979042270355,0.04613285829166894,0.8,0.75,0,0,0.25,0.11666666666666667,0.007296932131034613,0.050000000000000044,0
song_124.csv,60,0.38333333333333336,0.35,0.3478445923824075,0.28031746031746035,0.11605902785570607,0.10806340600414711,0.0714285714285714,0.2142857142857143,4,2,-0.03333333333333338,-0.06752713206494715,0.007995621851558957,-0.1428571428571429,2
song_164.csv,14,0.35714285714285715,0.42857142857142855,0.14444444444444446,0.1553030303030303,0.10009391716950135,0.1049037395688594,0.6666666666666667,0.75,1,0,0.0714285714285714,0.010858585858585845,-0.004809822399358052,-0.08333333333333326,1
song_315.csv,36,0.3888888888888889,0.3055555555555556,0.3071625344352617,0.16398601398601398,0.11702206857046886,0.10397375522986288,0.2727272727272727,0.4545454545454546,1,0,-0.08333333333333331,-0.14317652044924772,0.01304831334060598,-0.18181818181818188,1
song_170.csv,16,0.5625,0.4375,0.45666666666666667,0.30454545454545456,0.09268926434916087,0.09415190211955926,0.30000000000000004,0.5,2,1,-0.125,-0.1521212121212121,-0.0014626377703983867,-0.19999999999999996,1
song_272.csv,56,0.2857142857142857,0.2857142857142857,0.29511440940012373,0.2790429808286951,0.10989756354146789,0.09912407498215214,0.2142857142857143,0.2857142857142857,4,0,0.0,-0.016071428571428625,0.010773488559315744,-0.0714285714285714,4
song_82.csv,40,0.375,0.4,0.28727716727716723,0.3315910585141354,0.09304084833285776,0.09894039737666875,0.23076923076923073,0.3076923076923077,3,0,0.025000000000000022,0.04431389123696816,-0.0058995490438109865,-0.07692307692307698,3
song_183.csv,30,0.4,0.36666666666666664,0.2538079204745871,0.22357493059247446,0.0921299421148233,0.09097806315434626,0.2222222222222222,0.33333333333333337,4,0,-0.03333333333333338,-0.03023298988211265,0.0011518789604770402,-0.11111111111111116,4
song_231.csv,14,0.7857142857142857,0.7857142857142857,0.8630952380952381,0.75,0.09092801203731715,0.12747013776907806,0.0,0.125,2,0,0.0,-0.11309523809523814,-0.03654212573176091,-0.125,2
song_299.csv,46,0.5652173913043478,0.41304347826086957,0.5765873015873016,0.39612376351506784,0.09328657220962973,0.10113797577179122,0.0,0.16666666666666663,4,0,-0.15217391304347822,-0.1804635380722338,-0.00785140356216149,-0.16666666666666663,4
song_317.csv,54,0.37037037037037035,0.3333333333333333,0.36844821844821846,0.2961538461538461,0.09267255274620234,0.09202377338398635,0.07692307692307687,0.15384615384615385,0,0,-0.037037037037037035,-0.07229437229437236,0.0006487793622159954,-0.07692307692307698,0
song_342.csv,42,0.38095238095238093,0.35714285714285715,0.3458372545329067,0.28962962962962957,0.0888958547125882,0.09083360910329169,0.33333333333333337,0.4,2,0,-0.02380952380952378,-0.05620762490327713,-0.0019377543907034972,-0.06666666666666665,2
song_114.csv,22,0.6363636363636364,0.5,0.43470085470085473,0.23760683760683762,0.09050594931652514,0.1089747385809998,0.4,0.5454545454545454,2,0,-0.13636363636363635,-0.1970940170940171,-0.018468789264474664,-0.1454545454545454,2
song_200.csv,48,0.5208333333333334,0.3958333333333333,0.23177045177045175,0.17348927875243667,0.10624385308711477,0.0937263742764198,0.46153846153846156,0.16666666666666663,5,0,-0.12500000000000006,-0.05828117301801508,0.012517478810694968,0.29487179487179493,5
song_49.csv,28,0.21428571428571427,0.17857142857142858,0.2017825311942959,0.06336088154269973,0.10279565572331065,0.10185538641359884,0.36363636363636365,0.6363636363636364,0,0,-0.0357142857142857,-0.13842164965159617,0.0009402693097118053,-0.2727272727272727,0
